fedExPoints,name,r1,r2,r3,r4,rank,score,total,year
72,Jason Dufner,67,67,68,72,T14,-6,278,2011
70,Scott Piercy,71,63,71,70,T16,-7,277,2018
73,Richard H. Lee,68,67,69,73,T9,-3,281,2013
68,John Peterson,72,64,71,68,T18,-8,276,2015
71,Aaron Baddeley,70,67,69,71,T14,-6,278,2011
67,Dustin Johnson,69,63,72,67,T16,-7,277,2018
73,Jordan Spieth,70,67,69,73,T9,-3,281,2013
70,Ian Poulter,69,64,67,70,T18,-8,276,2015
70,Spencer Levin,68,67,71,70,T14,-6,278,2011
70,Ted Potter Jr.,72,63,69,70,T16,-7,277,2018
74,Pat Perez,68,67,70,74,T18,-2,282,2013
71,Brendon de Jonge,70,64,67,71,T18,-8,276,2015
72,Chris Couch,68,67,70,72,T14,-6,278,2011
70,Emiliano Grillo,72,63,69,70,T16,-7,277,2018
75,Justin Hicks,69,67,68,75,T18,-2,282,2013
69,Jerry Kelly,71,64,70,69,T18,-8,276,2015
68,Chris DiMarco,73,67,68,68,T14,-6,278,2011
72,Ryan Moore,69,63,67,72,T16,-7,277,2018
70,K.J. Choi,70,67,71,70,T18,-2,282,2013
70,Matt Every,66,64,70,70,T18,-8,276,2015
69,Brian Davis,68,67,68,69,T21,-5,279,2011
69,John Huh,66,63,69,69,T23,-6,278,2018
71,Ken Duke,70,67,71,71,T18,-2,282,2013
69,Lucas Glover,70,64,70,69,T18,-8,276,2015
72,Mark Wilson,66,67,71,72,T21,-5,279,2011
70,Tyrone Van Aswegen,73,63,66,70,T23,-6,278,2018
73,Johnson Wagner,67,67,71,73,T18,-2,282,2013
72,John Merrick,69,64,71,72,T26,-7,277,2015
75,Brendon de Jonge,67,67,66,75,T21,-5,279,2011
68,Bud Cauley,71,63,71,68,T23,-6,278,2018
75,Steve LeBrun,68,67,71,75,T18,-2,282,2013
69,Brandt Snedeker,77,64,67,69,T26,-7,277,2015
68,Freddie Jacobson,69,67,71,68,T21,-5,279,2011
